"","contestant","winner"
"1","BeBe Zahara Benet",1
"2","Tyra Sanchez",1
"3","Raja",1
"4","Sharon Needles",1
"5","Jinkx Monsoon",1
"6","Bianca Del Rio",1
"7","Violet Chachki",1
"8","Bob the Drag Queen",1
"9","Sasha Velour",1
"10","Aquaria",1
"11","Yvie Oddly",1
"12","Jaida Essence Hall",1
"13","Nina Flowers",0
"14","Rebecca Glasscock",0
"15","Raven",0
"16","Jujubee",0
"17","Manila Luzon",0
"18","Alexis Mateo",0
"19","Chad Michaels",0
"20","Phi Phi O'Hara",0
"21","Alaska",0
"22","Roxxxy Andrews",0
"23","Adore Delano",0
"24","Courtney Act",0
"25","Ginger Minj",0
"26","Pearl",0
"27","Kim Chi",0
"28","Naomi Smalls",0
"29","Peppermint",0
"30","Shea Couleé",0
"31","Trinity Taylor",0
"32","Eureka O'Hara",0
"33","Kameron Michaels",0
"34","Asia O'Hara",0
"35","Brooke Lynn Hytes",0
"36","A'Keria C. Davenport",0
"37","Silky Nutmeg Ganache",0
"38","Vanessa Vanjie Mateo",0
"39","Nina West",0
"40","Shuga Cain",0
"41","Plastique Tiara",0
"42","Ra'Jah O'Hara",0
"43","Scarlet Envy",0
"44","Ariel Versace",0
"45","Mercedes Iman Diamond",0
"46","Honey Davenport",0
"47","Kahanna Montrese",0
"48","Soju",0
"49","Crystal Methyd",0
"50","Gigi Goode",0
