ParticipantId,gender,Experimental_condition,wave,round,position,order,match,int_corr,samerace,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,imprace,imprelig,income,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,dec,attr,sinc,intel,fun,amb,shar,like,prob
1,0,1,1,10,7,4,0,0.14,0,27,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,6,9,7,7,6,5,7,6
1,0,1,1,10,7,3,0,0.54,0,22,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7,8,7,8,5,6,7,5
1,0,1,1,10,7,10,1,0.16,1,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5,8,9,8,5,7,7,
1,0,1,1,10,7,5,1,0.61,0,23,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7,6,8,7,6,8,7,6
1,0,1,1,10,7,7,1,0.21,0,24,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5,6,7,7,6,6,6,6
1,0,1,1,10,7,6,0,0.25,0,25,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0,4,9,7,4,6,4,6,5
1,0,1,1,10,7,1,0,0.34,0,30,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7,6,7,4,6,7,6,5
1,0,1,1,10,7,2,0,0.5,0,27,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0,4,9,7,6,5,6,6,7
1,0,1,1,10,7,8,1,0.28,0,28,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7,6,8,9,8,8,7,7
1,0,1,1,10,7,9,0,-0.36,0,24,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,1,2,4,69487.00,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5,6,6,8,10,8,6,6
2,0,1,1,10,3,10,0,0.29,1,27,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5,7,8,4,6,3,6,4
2,0,1,1,10,3,9,0,0.18,1,22,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,8,5,6,6,9,6,7,3
2,0,1,1,10,3,6,0,0.1,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5,8,9,6,3,4,6,7
2,0,1,1,10,3,1,1,-0.21,1,23,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7,9,7,6,5,7,7,8
2,0,1,1,10,3,3,0,0.32,0,24,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,6,8,7,9,7,8,8,6
2,0,1,1,10,3,2,0,0.73,1,25,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,8,7,8,3,6,2,6,5
2,0,1,1,10,3,7,0,0.6,1,30,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7,5,9,6,7,9,8,7
2,0,1,1,10,3,8,0,0.07,1,27,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5,8,7,5,9,5,5,6
2,0,1,1,10,3,4,1,0.11,1,28,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7,6,8,9,4,5,5,6
2,0,1,1,10,3,5,0,0.39,1,24,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,1,2,5,65929.00,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,6,7,8,7,9,8,8,7
3,0,1,1,10,9,6,0,-0.24,1,27,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7,9,10,7,8,9,8,7
3,0,1,1,10,9,5,0,-0.14,1,22,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9,7,9,8,9,7,8,7
