gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city
1,25,4,8279,239,1,1,1,0,0,0,1,0,0,1,0,0,0,Rothenburg
1,22,5,663,13,1,1,1,0,0,0,3,1,0,1,1,0,0,Sissach
1,20,3,22187,1015,1,1,0,0,0,0,2,1,1,0,0,0,0,Montréal
1,24,18,7339,180,1,0,1,0,0,0,2,0,1,1,0,0,0,Titisee-Neustadt
1,24,13,18672,492,0,1,0,0,0,0,5,0,1,1,0,0,0,Stuttgart
1,23,6,19091,1348,1,0,1,0,0,0,2,0,1,1,0,0,0,Eisenhüttenstadt
1,20,14,29984,2389,1,1,1,0,0,0,3,1,1,1,0,0,0,Gstaad
1,24,1,5979,147,1,1,1,0,0,0,2,0,1,1,0,0,0,Stuttgart
1,22,3,10450,421,1,1,0,0,0,0,1,0,0,1,0,0,0,Bad Bellingen
1,20,5,2612,117,1,1,0,0,0,0,1,0,0,1,0,0,0,Basel
1,20,12,32450,787,1,1,1,0,0,1,1,0,0,1,0,0,0,Zürich
1,22,4,1710,116,0,0,1,0,0,0,1,0,0,1,0,0,0,Emmendingen
1,25,13,26842,643,0,1,1,0,0,0,1,0,0,1,0,0,0,Rifferswil
1,22,2,20266,1148,1,1,1,0,0,0,1,0,0,1,0,0,0,Müllheim
1,20,4,16683,647,1,0,0,0,0,1,1,0,0,1,0,0,0,Utzenstorf
1,25,7,3413,86,1,0,1,0,0,0,1,0,0,1,0,0,0,Zweisimmen
1,19,13,8310,143,1,0,0,0,0,0,3,1,1,1,0,0,0,Härkingen
1,21,1,25903,982,1,1,1,0,0,0,1,0,0,1,0,0,0,Bâle
1,21,27,33018,812,1,1,1,0,0,1,1,0,0,1,0,0,0,Marbach
1,22,15,2502,25,1,0,0,0,0,0,1,0,0,1,0,0,0,Maulburg
1,24,5,22847,1282,1,0,0,0,0,1,4,1,1,1,1,0,0,New York
1,21,13,7407,125,1,1,1,0,0,0,3,1,1,1,0,0,0,Luzern
1,19,30,16096,533,1,1,0,0,0,1,2,0,0,1,1,0,0,Oftringen
1,20,18,6962,361,1,1,1,0,0,0,1,0,0,1,0,0,0,Lörrach
1,22,30,30863,1901,0,0,1,0,0,0,1,0,0,1,0,0,0,Frauenfeld
1,24,3,51339,2926,1,0,0,0,0,0,1,0,0,1,0,0,0,Erlinsbach
1,21,7,3471,38,0,0,1,0,0,0,1,0,0,1,0,0,0,Wetzikon
1,25,18,12050,478,0,1,1,0,0,0,1,0,0,1,0,0,0,Zug
1,24,12,26982,710,1,0,1,0,0,1,1,0,0,1,0,0,0,Emmenbrücke
1,24,7,1820,25,1,1,0,0,0,0,1,0,0,1,0,0,0,Olten
1,22,18,11507,194,1,0,0,0,0,1,1,0,0,1,0,0,0,Lyssach
1,21,10,17655,468,1,1,1,0,0,1,1,0,0,1,0,0,0,Langenthal
